201601	Âñåãî	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Âñå	59083	1357	2138	1998	1904	1835	1900	1826	2023	2226	2214	2042	1898	1954	1920	2035	1903	1882	1845	1758	1875	1890	1982	1823	1860	1845	1784	1823	1856	1954	1841	1892
ÁÊ	21	0	0	1	0	1	0	1	0	0	2	0	3	1	1	1	0	0	1	2	1	1	0	0	0	1	2	1	1	0	0	0
Â2	6326	138	208	246	219	231	231	194	215	251	228	232	237	193	170	231	211	197	190	199	171	217	196	189	212	188	167	179	174	198	203	211
Â3	15754	393	565	598	528	523	504	519	539	619	578	551	529	519	522	530	494	470	468	470	500	496	482	487	492	465	483	448	464	501	505	512
Ã3	331	0	17	0	19	0	20	0	25	0	19	0	25	0	22	0	21	0	25	0	18	8	21	0	23	0	24	0	23	0	21	0
Ã4	15738	311	467	488	493	465	499	479	523	532	538	542	488	551	500	573	478	536	507	499	514	534	556	493	520	527	491	523	526	563	493	529
Ê1	9547	273	502	371	322	316	316	299	315	442	337	323	307	301	283	312	360	256	255	272	295	283	283	286	297	255	250	254	284	287	303	308
Ë1	10700	199	295	329	367	329	358	309	406	377	360	379	327	371	356	389	322	333	369	325	347	339	379	341	325	356	334	362	353	362	346	356
Ï2	10946	274	410	384	343	361	367	368	365	406	427	373	340	367	364	354	346	341	299	334	338	338	367	328	320	359	358	332	334	373	339	337
Ï1	7032	142	211	241	210	244	234	243	232	256	298	238	229	220	244	246	230	235	204	177	233	239	217	211	218	207	224	222	227	218	247	235
ØÊ	20872	501	702	696	674	654	665	668	702	713	746	696	650	668	693	709	659	670	686	623	640	688	701	683	685	678	660	657	660	706	660	679
ÂÊ	9975	170	384	326	283	273	263	262	324	376	409	372	343	325	344	365	303	321	330	319	332	335	351	295	311	324	299	325	358	339	296	318
ÄÊ	18094	406	682	642	588	576	613	588	672	755	740	644	591	612	551	612	583	590	558	504	569	522	591	537	566	548	492	539	532	571	553	567
Õ2	6430	152	263	227	227	233	240	192	233	258	205	204	229	199	196	220	228	189	192	218	200	203	207	186	203	189	199	174	184	189	175	216
À1	195	0	4	0	0	3	2	1	2	0	0	6	6	1	10	18	5	4	9	5	15	14	16	9	1	10	16	6	0	17	14	1
Ì1	18200	308	615	636	624	591	570	556	604	692	684	661	581	594	608	666	594	606	594	562	556	625	634	563	575	591	521	562	574	624	563	466
Ì2	19905	489	653	665	624	645	646	651	641	698	711	660	613	626	718	724	617	682	589	579	619	666	684	602	620	676	608	617	638	689	594	661
Ì3	5011	0	36	222	276	296	41	66	197	343	434	339	70	38	38	275	340	111	56	30	37	229	320	60	41	48	38	250	329	348	69	34
Ì4	16098	377	746	555	383	382	539	573	442	603	541	431	525	612	598	543	412	531	546	487	560	493	417	536	580	532	541	498	480	454	577	604
Ì5	13690	55	397	538	457	479	486	206	432	619	618	522	490	439	382	527	454	460	408	347	365	474	477	452	467	433	352	453	435	509	505	452
Ì6	16885	421	681	572	541	520	577	669	606	690	674	601	577	596	574	511	575	488	495	476	545	501	525	482	509	498	502	486	468	507	508	510
Ì7	6011	0	122	138	264	388	161	183	227	217	260	416	218	192	136	268	209	194	217	153	128	178	269	152	140	93	165	180	219	264	140	120
Ì8	14635	345	514	465	473	357	511	416	502	467	479	423	494	481	509	495	440	513	504	493	525	476	530	454	473	520	482	474	456	465	451	448
Ç2	12766	423	514	430	426	342	354	362	421	453	417	403	367	441	419	431	423	383	408	394	443	402	451	385	413	428	386	394	404	412	403	434
Ç1	1714	0	39	53	54	63	71	66	56	108	152	89	76	54	22	69	59	83	56	38	31	53	44	62	46	0	24	38	41	74	55	38
Õ1	126	0	5	5	3	4	5	5	4	5	2	5	2	5	5	4	5	5	6	6	3	2	3	7	4	3	3	3	6	2	4	5
Ê2	127	0	0	17	0	0	0	0	0	33	41	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	19	0	0	0	0
Ñ1	90	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	44	0	0
Â1	11	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	1	0
Â4	234	0	0	0	0	26	47	0	0	16	54	0	0	0	0	0	34	29	0	0	0	0	28	0	0	0	0	0	0	0	0	0
Ã5	655	0	24	0	24	7	39	27	35	0	27	24	40	22	29	0	30	8	30	23	24	7	36	16	27	22	23	0	38	22	26	25
Ã6	378	8	12	10	13	12	11	11	13	12	12	14	12	12	12	15	11	12	13	10	12	15	14	9	10	15	15	14	15	12	12	10
Ã2	12990	272	415	410	417	403	418	394	416	429	439	429	425	430	424	489	399	457	425	407	432	460	456	386	433	419	415	433	416	447	387	408
