201610	Âñåãî	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Âñå	68367	2309	2323	2220	2251	2302	2269	2376	2255	2267	2287	2246	2282	2301	2419	2234	2238	2248	2220	2278	2258	2347	2172	2168	2169	2181	683	2248	2369	2147	2175	2125
ÁÊ	53	0	1	0	3	5	2	3	0	2	2	3	1	3	3	0	2	0	4	6	1	1	0	1	0	2	0	1	4	0	2	1
Â2	9070	316	342	287	288	305	315	328	321	346	308	292	274	303	322	306	313	304	258	296	303	298	277	322	280	279	74	267	295	288	294	269
Â3	18423	634	665	619	614	596	592	618	625	675	626	601	584	581	632	647	647	594	609	561	579	644	623	596	571	553	166	610	665	583	583	530
Ã3	538	19	19	0	20	27	24	18	22	0	22	12	28	22	23	0	17	21	25	14	24	0	29	16	23	16	30	0	22	0	26	19
Ã4	18153	565	580	609	578	567	593	608	537	606	600	588	615	623	659	591	599	628	594	631	639	646	572	572	607	584	174	630	621	564	564	609
Ê1	8789	350	342	261	263	287	293	299	320	301	295	285	269	272	290	307	313	270	281	263	284	307	337	274	225	248	111	302	305	314	268	253
Ë1	11731	345	403	415	413	391	388	388	360	354	396	380	429	372	420	350	443	399	352	363	378	407	377	379	405	348	108	374	496	354	372	372
Ï2	13516	490	458	447	435	468	428	455	446	430	451	440	442	457	468	468	424	467	452	425	437	462	430	418	414	455	146	465	477	430	417	414
Ï1	6861	244	239	225	226	229	225	218	212	207	224	227	225	235	230	235	230	229	234	246	230	228	219	217	208	228	44	235	241	232	229	210
ØÊ	23758	811	804	780	790	778	795	785	798	792	778	786	782	802	803	804	782	786	791	770	771	778	778	773	763	770	249	773	783	765	779	759
ÂÊ	13364	425	450	436	472	430	448	486	440	454	446	437	440	454	472	420	429	430	437	432	462	488	422	417	412	438	133	462	491	415	409	377
ÄÊ	18754	661	662	641	619	649	617	671	613	617	634	596	648	618	657	615	623	627	595	637	600	637	567	591	608	584	167	593	641	593	590	583
Õ2	8742	281	326	254	259	304	225	338	321	344	327	312	267	301	329	300	282	260	263	264	284	299	283	307	259	269	84	267	281	270	314	268
Ì1	21559	724	735	731	670	721	716	775	693	679	680	695	753	724	770	660	696	733	725	745	716	755	659	676	730	705	187	721	716	673	693	703
Ì2	23191	801	713	733	758	775	760	810	779	733	763	764	813	745	807	716	755	799	817	767	722	789	716	764	775	780	264	746	825	736	743	723
Ì3	9368	509	517	138	293	431	398	409	402	26	297	423	414	340	82	43	275	389	435	418	71	101	278	338	377	392	80	100	354	349	352	337
Ì4	18578	611	614	730	637	545	576	565	538	724	596	556	625	578	717	718	631	626	600	547	734	743	616	561	512	540	183	762	691	553	507	442
Ì5	16077	569	578	560	531	553	520	537	527	499	411	513	543	549	564	545	450	561	557	558	550	586	471	487	510	547	138	568	575	506	502	512
Ì6	18147	612	643	614	567	608	633	695	640	615	667	561	614	566	634	592	634	568	545	584	549	585	563	574	595	596	153	570	643	624	555	548
Ì7	8694	295	244	280	187	425	493	373	242	168	172	301	346	378	276	167	146	363	374	324	259	282	156	225	408	381	138	241	201	176	328	345
Ì8	16688	519	505	516	545	541	498	537	563	618	614	543	497	567	610	622	551	507	495	565	598	629	568	502	534	484	183	550	575	529	553	570
Ç2	13053	444	452	411	407	423	435	446	440	455	429	389	430	426	451	412	459	409	406	426	431	491	427	444	457	408	141	450	481	410	385	378
Ç1	3445	115	133	110	98	149	143	147	129	148	95	130	115	112	108	95	93	119	124	128	144	115	89	107	126	77	0	79	91	97	130	99
Õ1	140	0	0	0	45	13	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ê2	1415	49	30	28	51	79	58	41	70	65	48	67	55	54	78	42	22	41	21	50	59	43	0	29	48	47	0	32	35	28	95	50
Ñ1	2360	105	76	78	83	99	84	101	67	78	82	59	107	124	78	68	68	64	90	105	98	64	35	82	50	103	0	83	0	71	64	94
Â1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Â4	2345	112	90	50	79	108	97	100	72	76	84	79	64	117	112	47	35	74	47	88	87	66	0	95	76	109	6	66	47	63	103	96
Ã5	848	21	29	23	21	24	32	22	34	29	26	21	32	21	29	30	30	32	27	23	30	25	26	32	38	24	30	27	31	26	36	17
Ã6	399	11	11	16	14	17	13	14	14	10	17	14	13	15	14	14	9	13	14	12	14	13	12	9	13	14	5	17	16	12	9	10
