_____ /___;__;__;__;__;_1;_2;_3;_4;_5;_6;_7;_8;_1;_2;_3;_4;_2;_3;_4;_5;_6;_1;_2;_1;_2;_1;_1;_2;_1;_1;_2;_1;______ _____;
1;5;532;792;899;812;854;637;759;693;743;418;543;0;402;620;277;569;0;725;29;0;106;454;378;53;475;254;553;60;0;385;12;0;
2;6;499;782;898;768;866;598;742;695;773;443;474;0;371;616;261;524;24;676;31;0;163;455;380;108;474;258;513;165;0;376;4;0;
3;4;560;792;916;817;893;601;764;709;744;241;644;0;411;610;312;573;0;710;29;0;124;446;366;79;411;299;636;140;0;340;19;0;
4;4;541;831;932;901;923;667;784;726;851;560;441;0;455;679;272;609;26;720;27;0;153;480;388;135;432;252;592;142;0;435;10;0;
5;5;533;752;935;873;913;664;772;660;746;387;579;0;413;721;210;562;0;684;27;0;138;477;416;107;387;259;533;135;0;390;14;0;
6;1;529;790;903;789;845;635;777;621;763;215;623;0;412;695;216;555;14;662;24;0;135;489;419;85;488;248;531;0;0;383;6;0;
7;5;504;774;891;774;876;616;738;672;720;264;575;0;385;632;268;495;24;631;22;0;107;439;390;54;510;277;529;64;0;383;9;0;
8;1;536;779;861;819;882;520;741;687;775;542;493;0;368;653;284;543;28;639;30;0;147;428;349;99;425;285;561;130;0;348;17;0;
9;6;516;788;895;782;828;540;665;662;785;520;571;0;390;615;274;532;0;675;26;0;160;485;401;83;450;278;537;159;0;386;20;0;
10;2;544;781;895;826;880;625;777;704;764;475;475;0;439;649;313;536;25;664;32;0;140;488;389;104;428;289;584;152;0;405;15;0;
11;4;516;824;909;862;861;646;758;737;782;420;569;0;416;673;267;555;0;693;45;0;128;493;423;117;492;281;600;82;0;412;12;0;
12;2;510;773;920;740;825;540;716;591;740;255;629;0;398;681;238;513;20;659;27;0;28;571;453;79;523;245;543;0;0;400;23;0;
13;2;518;786;902;768;871;600;704;620;794;305;566;0;427;597;327;511;0;684;33;0;208;479;496;59;512;242;535;69;0;396;6;0;
14;3;534;783;881;834;921;563;744;659;737;482;462;0;379;600;308;507;0;679;41;0;140;448;324;113;454;252;547;147;0;375;11;0;
15;5;536;791;894;822;858;559;647;712;748;451;607;0;388;623;289;548;0;710;25;0;122;423;355;103;429;271;547;128;0;397;14;0;
16;5;519;761;914;770;863;542;681;646;778;323;628;0;383;657;215;553;20;696;27;0;138;458;401;94;423;238;528;148;0;401;29;0;
17;3;551;805;899;784;836;377;786;639;820;339;645;0;431;669;271;558;0;705;33;0;112;469;404;78;465;262;575;103;0;419;32;0;
18;6;523;833;919;815;907;586;741;681;871;261;665;0;385;681;257;557;37;695;49;0;106;504;402;105;568;273;587;11;0;389;31;0;
19;3;531;759;932;800;897;648;824;611;767;308;542;0;384;628;274;554;0;688;30;0;134;460;441;91;481;262;552;81;0;391;17;0;
20;1;569;801;928;829;937;621;826;665;747;241;609;0;395;631;304;493;15;643;43;0;166;492;368;135;433;272;551;126;0;385;2;0;
21;4;544;808;916;870;925;567;688;647;805;338;615;0;388;609;305;561;0;703;19;0;188;472;383;79;438;252;536;131;0;396;18;0;
22;5;550;774;894;805;869;539;675;623;814;530;561;0;444;644;269;562;28;701;45;0;106;500;336;107;421;239;520;124;0;422;18;0;
23;4;530;788;923;853;904;589;662;678;778;557;532;0;404;720;191;579;0;733;33;0;118;492;392;101;477;276;506;63;0;410;14;0;
24;3;578;812;912;818;911;634;790;717;839;469;500;0;439;649;322;556;38;687;48;0;112;514;377;96;553;306;563;28;0;439;23;0;
25;7;548;847;937;855;928;646;819;747;783;341;594;0;401;652;280;578;0;732;28;0;130;515;412;74;523;286;546;80;0;390;22;0;
26;7;551;764;923;817;918;635;801;675;717;531;491;0;346;665;284;547;25;694;33;0;163;466;392;140;421;274;533;137;0;385;23;0;
27;0;602;803;927;841;920;672;813;699;752;326;545;0;419;667;264;537;0;688;17;0;204;449;429;80;440;271;542;132;0;370;4;0;
28;3;563;786;921;873;881;606;652;703;802;571;547;0;414;704;215;567;25;663;24;0;127;501;385;98;472;268;559;91;0;379;25;0;
29;5;539;803;899;806;872;548;616;705;762;552;618;0;414;693;240;575;0;677;24;0;109;464;368;107;532;251;549;38;0;404;55;0;
30;4;536;776;913;823;920;581;712;658;749;339;590;0;376;625;247;573;23;681;24;0;114;519;436;81;542;265;520;146;0;383;58;0;
31;1;553;807;905;835;894;607;801;697;738;393;624;0;382;665;253;601;0;739;38;0;154;494;447;49;496;306;535;109;0;382;60;0;
