201607	Âñåãî	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Âñå	76665	2559	2388	2460	2468	2470	2472	2448	2530	2405	2484	2518	2407	2447	2469	2603	2517	2475	2463	2429	2422	2485	2529	2412	2450	2470	2432	2434	2459	2586	2492	2482
ÁÊ	72	4	1	0	2	3	2	2	3	2	2	3	5	1	5	2	0	0	5	5	3	1	2	0	0	2	2	5	2	4	2	2
Â2	11352	366	336	364	366	333	359	367	347	338	385	362	383	359	353	396	397	362	336	394	357	341	367	364	374	401	374	349	403	359	365	395
Â3	21310	701	669	682	662	706	643	651	677	657	692	714	727	672	686	691	677	673	681	766	678	670	703	676	756	705	678	639	686	678	688	726
Ã3	670	20	26	11	23	26	17	24	25	13	25	22	24	16	39	16	21	21	29	20	20	23	21	17	18	23	24	15	21	24	18	28
Ã4	18438	598	577	605	596	615	601	592	595	570	584	601	587	575	594	603	582	598	619	594	582	598	593	604	589	614	596	579	608	634	581	574
Ê1	11031	364	374	377	323	321	327	306	342	370	354	339	316	397	334	367	418	389	336	316	343	330	353	401	376	323	321	362	354	404	422	372
Ë1	12484	427	356	374	436	380	424	424	384	340	359	433	430	430	383	389	373	356	517	401	372	365	401	381	446	430	372	384	392	457	431	437
Ï2	16202	513	501	534	543	520	511	517	514	503	507	522	518	501	535	535	488	499	507	526	538	517	507	505	517	537	540	548	575	530	521	573
Ï1	7748	233	228	228	246	243	252	255	263	232	277	220	258	244	251	234	280	233	293	249	280	261	240	253	235	232	242	244	265	261	246	270
ØÊ	24049	805	783	775	788	772	781	789	793	795	796	778	762	774	760	778	767	766	776	765	756	766	797	777	752	766	748	754	776	796	789	769
ÂÊ	14729	505	454	464	489	469	476	490	485	452	460	525	456	489	480	513	463	471	457	480	460	488	489	432	467	480	467	465	465	494	458	486
ÄÊ	23094	802	713	738	744	746	746	735	773	712	763	760	726	755	735	805	718	738	741	734	748	742	769	699	753	740	732	738	724	785	724	756
Õ2	8551	297	192	280	262	257	206	242	185	209	222	330	287	247	213	280	271	380	350	307	206	246	367	333	370	283	219	243	317	331	335	284
Ì1	22614	783	733	718	779	754	766	739	770	695	780	776	701	747	746	777	755	438	775	739	763	732	821	657	676	717	722	746	732	758	596	723
Ì2	24462	815	778	758	824	762	800	863	855	757	775	789	782	800	771	811	768	824	792	786	757	800	787	773	744	773	739	816	767	815	829	752
Ì3	14040	441	520	533	395	520	514	520	517	485	481	525	450	608	486	515	334	86	545	510	495	507	361	113	307	486	475	523	510	356	349	573
Ì4	20900	688	663	640	726	643	670	676	692	677	724	705	634	646	644	620	776	795	562	596	577	633	669	752	676	631	621	630	680	779	761	714
Ì5	19269	605	624	634	614	632	614	619	651	605	675	665	581	702	672	606	613	553	609	608	659	638	687	565	563	623	650	666	650	637	413	636
Ì6	22200	731	665	709	699	687	732	741	703	655	711	699	679	705	730	782	681	710	732	735	778	718	725	695	718	713	718	706	711	739	776	717
Ì7	11272	257	359	466	470	516	283	479	512	286	366	484	233	301	303	365	224	204	417	470	420	410	506	273	156	355	338	451	445	286	293	344
Ì8	16113	621	472	466	478	502	582	425	490	503	492	458	565	513	553	561	516	638	533	455	460	510	540	562	623	536	525	450	464	583	533	504
Ç2	14201	472	442	458	472	464	505	440	461	433	437	499	421	460	432	461	449	488	469	438	420	456	459	492	493	475	421	432	445	496	479	432
Ç1	4238	160	151	199	160	127	104	137	146	115	172	116	102	154	126	178	177	124	108	88	148	125	147	121	79	91	133	152	127	202	110	159
Õ1	2110	55	136	96	61	67	103	101	136	143	122	0	46	54	128	108	104	0	0	63	151	80	0	0	0	65	132	93	0	0	0	66
Ê2	3162	95	102	111	113	89	90	90	94	116	120	91	84	92	91	94	143	129	104	87	108	94	98	106	105	96	95	100	101	104	127	93
Ñ1	3215	109	125	111	84	80	99	75	139	108	110	87	64	105	137	153	116	94	17	80	130	122	129	108	11	122	123	165	133	119	91	69
Â1	8	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0
Â4	4018	118	123	142	125	109	107	125	134	144	123	112	92	103	143	165	180	157	126	107	141	154	144	136	57	114	135	157	133	163	122	127
Ã5	869	19	31	16	28	28	25	26	38	23	28	23	33	27	33	32	26	25	16	30	40	24	32	35	36	25	18	19	29	41	34	29
Ã6	369	12	9	8	13	15	12	11	11	10	8	9	14	13	11	12	13	7	18	10	10	10	11	15	11	14	14	10	17	14	16	11
Ã2	14862	493	456	496	505	511	499	483	475	474	492	496	472	478	505	478	464	483	521	470	464	510	487	457	454	473	481	465	463	473	438	446
À1	582	8	5	9	25	19	16	21	11	19	9	13	18	18	31	27	10	2	16	19	10	31	22	15	11	26	36	26	29	25	31	24
Ì9	238	0	0	41	0	0	0	63	0	0	0	0	0	43	0	2	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	38
