201709	Âñåãî	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Âñå	81455	2881	2734	2728	2740	2714	2650	2749	2840	2695	2744	2680	2654	2692	2778	2858	2676	2632	2667	2662	2707	2702	2834	2655	2747	2611	2641	2659	2711	2787	2627
ÁÊ	88	4	3	3	6	4	4	5	3	3	1	2	3	5	4	2	2	1	3	2	4	1	5	2	2	5	3	3	1	1	1
Â2	11680	416	401	395	417	411	372	384	391	387	408	355	402	376	442	418	396	387	376	333	389	389	422	360	414	352	390	360	378	389	370
Â3	19277	692	647	701	650	611	665	657	651	716	684	697	606	637	623	661	663	659	604	617	610	620	662	635	643	621	586	631	619	603	606
Ã3	355	23	0	19	0	24	0	30	0	20	0	22	0	21	0	40	0	21	0	25	0	24	0	18	0	23	0	20	0	25	0
Ã4	20804	736	720	694	741	694	717	708	737	673	689	672	688	695	735	682	684	626	693	695	690	631	753	670	683	671	692	675	697	697	666
Ê1	11485	400	443	378	362	384	395	309	413	418	399	345	362	389	357	404	407	349	356	290	382	361	409	408	423	339	375	414	369	400	445
Ë1	13856	465	403	424	469	528	491	429	439	411	505	470	492	456	430	460	436	447	532	456	423	445	504	457	496	449	414	527	494	465	439
Ï2	15986	567	532	548	534	515	503	529	547	555	545	543	519	520	538	583	535	534	538	504	504	533	553	507	528	506	510	505	544	598	509
Ï1	7818	279	254	238	227	228	249	307	300	233	258	249	258	257	314	270	261	245	246	273	264	282	243	259	242	247	253	266	274	267	275
ØÊ	27331	938	910	914	912	902	896	919	921	912	915	907	890	891	921	938	913	911	912	887	918	913	919	921	905	907	898	911	923	915	892
ÂÊ	16090	543	515	531	512	542	495	550	558	548	569	505	524	517	538	553	491	533	526	523	537	566	588	512	578	504	530	543	554	569	536
ÄÊ	22866	832	759	784	791	764	778	779	806	763	782	777	751	769	787	801	746	752	755	732	749	754	790	733	785	737	701	722	725	757	705
Õ2	11383	388	394	391	410	417	381	376	365	378	392	353	369	388	394	398	368	354	370	329	349	372	396	371	393	368	375	377	395	402	370
Ì1	24694	867	875	826	812	769	851	885	863	793	836	812	803	883	832	836	800	742	917	848	852	872	852	740	796	817	795	802	799	799	720
Ì2	26466	991	870	872	854	885	855	961	912	884	851	916	856	932	940	898	840	825	943	891	862	916	894	839	806	880	863	886	886	857	801
Ì3	17241	619	499	537	512	544	581	603	623	630	669	591	570	611	617	662	614	602	585	518	617	543	570	579	575	504	511	509	513	589	544
Ì4	21150	792	657	682	636	633	632	728	780	827	799	710	687	705	723	790	720	713	689	719	677	656	726	630	720	668	603	640	729	777	702
Ì5	19819	719	641	682	608	630	676	725	698	646	679	619	651	642	745	740	627	658	656	670	689	712	623	571	638	641	618	669	650	660	636
Ì6	22449	786	727	764	730	804	808	812	767	758	788	755	735	761	723	783	708	760	713	684	680	823	810	720	791	681	686	730	707	753	702
Ì7	11980	444	515	403	353	501	388	435	528	383	296	328	271	509	536	543	271	364	356	421	562	531	411	303	420	387	293	235	344	356	293
Ì8	17195	593	601	600	689	534	552	557	542	545	517	567	564	475	500	470	587	529	566	593	557	526	636	607	591	600	662	610	609	628	588
Ç2	14551	472	487	526	498	503	488	457	487	471	506	477	455	489	458	529	493	472	498	444	459	463	507	469	528	473	466	492	497	493	494
Ç1	3811	141	138	120	114	123	119	142	137	83	111	119	120	155	162	130	120	107	122	162	164	127	137	113	125	156	108	78	115	159	104
Ê2	2239	98	59	100	99	72	38	102	53	91	94	94	48	99	81	91	88	91	46	89	62	73	45	83	57	88	47	0	90	104	57
Ñ1	3304	171	124	124	113	0	110	144	200	139	72	75	98	146	134	155	102	63	87	154	153	133	117	78	88	125	135	71	60	60	73
Â4	7581	247	255	222	271	287	207	293	268	191	240	170	289	208	336	277	257	230	278	253	255	262	253	241	266	248	253	219	262	290	253
Ã5	940	25	26	28	27	27	26	44	22	29	30	61	35	36	23	52	25	41	29	39	21	28	21	44	31	39	18	26	20	46	21
Ã2	16503	621	566	543	571	564	543	557	592	541	519	542	509	544	578	534	547	511	539	560	592	547	600	511	508	526	557	514	555	587	525
À1	631	33	21	10	20	13	11	13	18	18	5	31	16	15	26	50	25	14	9	14	23	39	25	17	5	35	20	34	21	32	18
Ì9	559	66	0	0	0	133	68	130	0	0	0	0	26	0	35	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	55
