201809	Âñåãî	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Âñå	88320	2997	2984	2943	2951	2943	3012	3088	2934	3028	2936	2867	2927	2973	3070	2937	2953	2842	2878	2915	2972	3012	2913	2938	2838	2872	2945	2930	2985	2800	2937
Â2	13038	450	434	431	467	458	441	459	434	475	461	445	417	439	447	444	437	419	377	415	416	421	444	454	401	425	408	415	452	408	444
Â3	20989	694	672	678	676	719	710	699	687	701	677	765	736	674	687	664	751	751	677	659	647	796	829	839	613	668	686	541	666	722	705
Ã3	237	0	22	0	24	0	0	0	20	0	23	0	10	0	0	0	18	0	0	0	27	0	20	0	23	0	28	0	22	0	0
Ã4	22152	712	754	769	708	754	769	794	729	759	727	732	725	789	747	741	740	738	711	760	753	767	711	744	722	732	731	742	705	669	718
Ê1	12969	434	413	402	442	455	442	441	467	493	429	396	446	415	432	433	404	403	445	451	431	468	463	415	389	356	478	446	441	401	438
Ë1	15728	499	468	465	548	549	508	563	458	483	572	579	602	514	497	465	550	544	539	518	489	516	542	560	576	544	483	483	531	522	561
Ï2	17618	589	560	578	584	591	625	594	570	582	570	549	624	601	613	595	566	567	620	570	581	611	571	597	591	558	565	597	585	578	636
Ï1	8231	298	249	246	271	268	279	262	268	285	257	268	286	313	280	248	286	258	256	266	277	283	283	279	268	264	264	317	317	282	253
ØÊ	32907	1104	1126	1108	1073	1103	1104	1111	1097	1103	1088	1074	1102	1107	1111	1112	1085	1091	1071	1076	1106	1101	1093	1105	1093	1073	1101	1090	1100	1077	1122
ÂÊ	19719	645	667	659	672	668	677	712	627	710	669	626	668	661	724	630	663	623	626	651	662	679	603	645	633	650	659	684	679	585	662
ÄÊ	22686	742	822	749	731	753	739	756	831	839	787	706	759	737	792	768	792	704	706	718	803	754	765	755	705	714	808	746	777	709	719
Õ2	13035	458	442	456	464	442	477	463	453	475	453	440	426	441	433	443	446	407	410	413	411	431	461	441	394	425	434	395	393	389	419
Ì1	27034	819	894	861	904	874	876	868	890	995	892	911	857	896	1012	874	898	879	834	916	925	938	906	889	885	894	946	904	1014	894	889
Ì2	31862	938	983	963	938	969	1000	1013	1035	1117	946	967	1136	1082	1203	968	1058	1101	1084	1090	1162	1137	1106	1121	1074	1079	1119	1129	1123	1087	1134
Ì3	22373	693	729	644	683	654	685	705	707	818	683	674	814	761	821	718	733	718	722	773	745	800	776	776	716	793	780	858	886	698	810
Ì4	25636	790	841	767	816	791	818	896	849	911	820	753	823	898	1010	819	898	862	805	901	901	894	841	877	770	868	941	905	906	820	845
Ì5	21511	713	697	683	703	740	708	691	684	704	678	727	747	740	724	686	749	724	722	723	728	758	680	701	680	731	693	779	798	709	711
Ì6	22326	801	748	728	800	755	778	883	797	791	732	725	746	750	780	773	732	668	717	712	704	757	706	734	704	707	773	704	704	710	707
Ì7	17161	656	599	614	636	579	410	545	563	561	635	597	456	601	594	559	585	615	573	561	593	552	546	547	566	577	565	596	581	550	549
Ì8	16303	713	653	701	681	603	675	700	589	506	663	562	530	519	442	584	529	523	514	489	444	484	482	475	538	500	439	407	453	426	479
Ç2	15539	522	491	515	485	530	531	553	505	496	547	536	502	479	507	496	509	553	546	519	491	518	527	530	547	502	522	503	519	530	528
Ç1	3685	149	172	151	172	96	95	106	133	178	130	73	68	119	160	170	91	41	53	111	144	148	134	151	75	100	114	154	170	96	131
Ê2	822	76	86	28	0	27	67	48	31	0	0	30	34	41	48	49	81	11	0	0	0	0	0	42	0	42	0	0	0	49	32
Ñ1	2463	82	146	171	0	49	77	85	157	146	0	44	5	85	157	143	50	39	32	118	159	179	38	34	23	67	127	110	77	29	34
Â4	8621	329	349	278	332	271	314	307	318	316	296	195	243	314	312	354	280	188	282	300	328	160	161	178	332	288	300	435	315	227	319
Ã5	1079	26	33	25	66	29	48	37	42	25	51	36	35	32	26	33	51	31	43	33	41	27	53	25	57	30	40	24	28	16	36
Ã2	18463	629	613	664	615	610	654	628	594	647	618	587	592	659	639	597	598	623	605	610	631	600	568	602	579	630	631	640	623	582	595
ÂÂ	46	1	0	0	1	1	1	0	2	1	2	0	2	2	0	1	4	2	0	2	1	1	3	0	1	5	5	2	4	1	1
ØÂ	49	1	1	0	3	2	1	1	2	0	2	1	2	0	0	0	2	2	4	2	1	2	1	3	4	1	1	2	2	4	2
ÍÆ	40	1	2	2	0	2	2	1	1	2	0	3	2	0	2	2	2	3	1	1	4	1	0	1	0	1	1	0	2	0	1
×Ê	27	1	0	1	2	2	0	3	1	1	3	0	1	0	0	0	0	0	4	1	2	2	1	0	1	0	0	0	0	1	0
À1	40	2	0	1	1	0	0	0	2	0	2	2	3	2	2	1	0	3	0	4	1	5	0	1	4	0	1	2	1	0	0
Ì9	1077	181	0	83	0	0	0	45	0	0	0	0	357	72	0	0	0	0	58	0	81	0	0	0	0	74	0	90	0	0	36
ÐÄÖ	87777	2976	2958	2922	2925	2932	2997	3076	2906	3010	2915	2851	2917	2959	3051	2929	2931	2828	2863	2902	2936	2991	2875	2937	2821	2856	2920	2916	2951	2799	2927
ÀÄÖ	81414	2738	2798	2719	2715	2705	2708	2787	2740	2873	2724	2619	2691	2712	2870	2712	2748	2594	2643	2646	2781	2756	2649	2673	2591	2643	2787	2737	2790	2575	2690
ÂÂÑ	10	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0



201809	---	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Âñå	0.72	0.70	0.71	0.72	0.71	0.71	0.71	0.72	0.71	0.71	0.71	0.71	0.73	0.71	0.72	0.71	0.72	0.72	0.72	0.72	0.73	0.71	0.70	0.71	0.74	0.72	0.73	0.72	0.72	0.71	0.71
Â2	0.06	0.06	0.04	0.05	0.06	0.04	0.05	0.04	0.06	0.05	0.04	0.06	0.10	0.06	0.04	0.07	0.07	0.05	0.06	0.06	0.07	0.04	0.05	0.06	0.10	0.09	0.13	0.07	0.05	0.04	0.08
Â3	0.09	0.07	0.08	0.06	0.08	0.05	0.09	0.08	0.07	0.07	0.07	0.07	0.16	0.08	0.09	0.11	0.10	0.08	0.07	0.07	0.06	0.06	0.09	0.07	0.16	0.10	0.16	0.16	0.06	0.07	0.11
