;;ÁÊ;ÂÊ;ÄÊ;ØÊ;Ì1;Ì2;Ì3;Ì4;Ì5;Ì6;Ì7;Ì8;Â1;Â2;Â3;Â4;Ã2;Ã3;Ã4;Ã5;Ã6;Ç1;Ç2;Ê1;Ê2;Ë1;Ï1;Ï2;Ñ1;Õ1;Õ2;Ì9;À1
01.02.2018;1;0;3;3;14;0;16;0;7;0;3;0;6;0;0;13;0;8;0;12;0;0;0;15;3;0;6;0;8;0;0;7;0;0
01.02.2018;2;0;2;0;20;0;19;0;7;0;9;0;9;0;0;13;0;8;0;17;0;0;0;20;11;0;13;0;16;0;0;9;0;0
01.02.2018;3;0;4;4;25;0;20;0;14;0;12;0;31;0;0;14;0;37;0;46;0;0;0;14;11;0;15;0;16;0;0;12;0;0
01.02.2018;4;0;11;17;34;9;25;3;23;9;27;7;32;0;0;24;0;41;0;41;0;0;0;18;22;0;16;0;26;0;0;16;0;0
01.02.2018;5;0;28;36;50;34;35;28;43;41;31;31;19;0;9;24;0;47;0;45;0;0;0;20;14;0;25;7;27;0;0;17;0;0
01.02.2018;6;0;31;38;51;49;41;25;32;35;33;29;14;0;13;33;0;36;0;25;0;0;0;22;11;0;31;11;26;0;0;12;0;0
01.02.2018;7;0;15;42;47;49;33;9;36;43;35;36;20;0;25;35;0;33;0;27;0;0;0;33;17;0;28;14;31;0;0;12;0;0
01.02.2018;8;0;35;31;49;55;33;0;54;46;25;30;25;0;19;39;0;24;0;32;0;0;0;34;18;0;32;14;33;0;0;11;0;1
01.02.2018;9;0;28;33;38;37;29;0;52;41;35;30;23;0;27;37;31;36;0;41;0;0;0;32;23;0;22;15;36;0;0;17;0;0
01.02.2018;10;0;20;36;34;33;21;0;34;36;29;22;24;0;42;21;34;27;0;38;0;0;0;28;20;0;31;23;25;0;0;28;0;0
01.02.2018;11;0;27;28;42;37;27;0;48;41;31;30;26;0;30;43;4;19;0;16;0;0;0;28;31;0;28;16;23;0;0;31;0;0
01.02.2018;12;0;26;28;41;52;39;29;35;29;22;28;13;0;29;50;0;30;0;27;0;0;0;36;29;0;18;12;19;0;0;33;0;0
01.02.2018;13;0;28;29;50;56;48;52;38;40;24;28;21;0;23;51;0;30;0;33;0;0;10;30;26;0;33;23;30;0;0;29;0;2
01.02.2018;14;0;30;26;49;57;45;46;35;41;24;20;11;0;18;37;0;11;0;26;0;0;27;23;25;0;32;29;23;0;0;15;0;0
01.02.2018;15;0;33;32;54;65;53;47;30;54;33;29;12;0;22;48;0;24;0;29;0;0;27;20;35;0;25;29;27;0;0;23;0;0
01.02.2018;16;0;36;24;52;64;50;35;38;42;20;40;13;0;24;59;0;33;0;32;0;0;16;21;24;0;30;29;21;0;0;26;0;0
01.02.2018;17;1;33;38;48;47;51;34;35;39;32;31;21;0;22;42;0;32;0;34;0;0;0;32;20;0;24;24;19;0;0;29;0;0
01.02.2018;18;0;24;39;52;43;53;32;20;31;31;35;24;0;14;33;0;36;0;27;0;0;0;32;12;0;22;19;15;0;0;17;0;0
01.02.2018;19;0;27;34;52;68;53;29;27;29;28;38;22;0;19;42;0;34;0;34;0;0;0;41;12;0;30;22;17;0;0;21;0;0
01.02.2018;20;0;31;26;61;58;57;36;39;29;28;41;15;0;12;41;0;40;0;44;0;0;0;26;10;0;22;7;35;0;0;23;0;0
01.02.2018;21;0;29;20;45;20;48;11;37;10;31;15;28;0;0;26;0;27;0;37;0;0;0;17;12;0;25;0;26;0;0;17;0;0
01.02.2018;22;0;28;24;24;0;40;0;26;0;31;0;44;0;0;17;0;39;0;40;0;0;0;15;12;0;24;0;21;0;0;9;0;0
01.02.2018;23;0;10;11;17;0;26;0;12;0;19;0;17;0;0;21;0;22;0;35;0;0;0;14;14;0;21;0;19;0;0;12;0;0
01.02.2018;24;0;5;5;14;0;29;0;16;0;12;0;8;0;0;15;0;8;0;18;0;0;0;12;11;0;17;0;17;0;0;5;0;0
02.02.2018;1;0;1;5;9;0;14;0;3;0;4;0;3;0;0;17;0;4;0;8;0;0;0;15;4;0;8;0;7;0;0;5;0;0
02.02.2018;2;0;2;3;21;0;22;0;11;0;11;0;4;0;0;17;0;4;0;16;0;0;0;20;9;0;11;0;18;0;0;13;0;0
02.02.2018;3;0;3;4;24;0;22;0;9;0;15;0;18;0;0;16;0;28;0;41;0;0;0;18;17;0;11;0;20;0;0;13;0;0
02.02.2018;4;0;12;16;35;7;36;4;15;15;21;10;35;0;0;31;0;36;2;36;10;0;0;25;16;0;11;0;32;0;0;17;0;0
02.02.2018;5;0;26;37;44;33;43;26;25;43;38;41;29;0;7;29;0;29;10;35;21;0;0;13;12;0;21;5;30;0;0;18;0;0
02.02.2018;6;0;30;40;49;41;43;36;29;37;37;28;17;0;20;27;0;23;4;23;10;0;0;10;10;0;27;10;21;0;0;14;0;0
02.02.2018;7;0;20;43;47;56;39;31;20;26;32;30;23;0;16;26;0;25;0;19;0;0;0;24;15;0;25;11;24;0;0;7;0;0
02.02.2018;8;0;33;36;46;64;44;30;30;41;35;32;21;0;16;32;0;33;0;40;0;0;0;29;18;0;29;12;30;0;0;9;0;0
02.02.2018;9;0;29;27;42;53;38;34;33;36;24;24;13;0;27;63;1;30;0;36;0;0;0;31;28;0;21;13;35;0;0;23;0;0
02.02.2018;10;0;17;33;45;45;46;26;17;45;27;30;21;0;37;54;38;25;0;32;0;0;0;35;27;0;25;22;25;0;0;34;0;0
02.02.2018;11;0;20;36;47;47;39;34;26;41;34;26;18;0;25;49;0;16;0;24;0;0;0;33;30;0;35;17;23;0;0;27;0;1
02.02.2018;12;0;18;31;45;53;40;28;19;35;30;26;13;0;24;55;0;23;0;21;0;0;8;37;22;0;31;15;25;0;0;20;0;1
02.02.2018;13;0;36;35;51;67;53;49;38;42;24;38;21;0;27;47;0;38;0;38;0;0;26;25;18;0;30;21;19;0;0;26;0;0
02.02.2018;14;0;32;27;54;54;52;42;29;46;21;34;28;0;19;47;0;26;0;36;0;0;27;34;32;0;36;32;20;0;0;23;0;0
02.02.2018;15;0;24;39;50;52;48;47;21;47;40;27;14;0;27;49;0;23;0;38;0;0;32;42;40;0;45;32;27;0;0;23;46;0
02.02.2018;16;0;31;33;55;49;51;52;32;40;26;39;26;0;33;64;0;38;0;54;0;0;18;21;25;0;38;32;23;0;0;27;43;0
02.02.2018;17;0;36;39;61;51;54;41;34;47;33;31;22;0;17;42;0;23;0;32;0;0;0;37;23;0;35;30;25;0;0;19;39;1
02.02.2018;18;0;35;36;50;50;46;23;34;43;36;39;24;0;18;39;0;37;0;41;0;0;0;34;15;0;34;25;21;0;0;15;1;0
02.02.2018;19;0;25;36;64;72;58;28;30;29;31;35;24;0;22;33;0;32;0;36;0;0;0;51;13;0;42;18;12;0;0;20;0;0
02.02.2018;20;0;27;31;54;59;36;28;32;35;28;39;20;0;5;29;0;34;0;48;0;0;0;32;9;0;47;10;31;0;0;20;0;0
