;---;ÁÊ;Â2;Â3;Ã4;Ê1;Ë1;Ï2;Ï1;ØÊ;ÂÊ;ÄÊ;Õ2;À1;Ì1;Ì2;Ì3;Ì4;Ì5;Ì6;Ì7;Ì8;Ç2;Ç1;Õ1;Ê2;Â1;Â4;Ã6;Ã2
21.03.2016;1;0;0;7;6;4;5;6;0;11;3;6;4;0;0;12;0;5;0;2;0;7;15;0;0;0;0;0;0;4
21.03.2016;2;0;0;10;10;9;8;14;0;25;1;3;4;0;0;21;0;6;0;13;0;11;18;0;0;0;0;0;0;6
21.03.2016;3;0;0;8;30;12;12;18;0;21;2;7;10;0;0;12;0;9;0;12;0;17;9;0;0;0;0;0;1;18
21.03.2016;4;0;0;17;38;20;17;16;0;26;6;12;6;0;2;22;1;18;2;18;3;20;20;0;1;0;0;0;0;29
21.03.2016;5;0;9;24;45;17;22;11;11;43;11;30;12;1;26;28;17;22;33;26;29;20;18;0;1;0;0;0;0;42
21.03.2016;6;0;8;17;31;12;25;14;13;42;24;33;10;0;36;31;21;27;32;25;26;18;18;0;1;0;0;0;2;32
21.03.2016;7;0;12;24;27;12;25;22;14;41;18;36;5;0;52;36;13;29;34;26;23;20;26;0;0;0;0;0;0;24
21.03.2016;8;0;20;32;30;8;31;23;9;44;25;36;7;2;54;46;0;38;32;23;0;37;28;0;1;0;0;0;0;31
21.03.2016;9;0;17;38;36;23;37;22;15;33;28;27;12;2;49;33;0;46;31;23;0;22;31;0;0;0;0;0;1;24
21.03.2016;10;1;21;46;20;21;32;20;17;32;19;31;15;6;40;22;0;28;31;31;0;27;31;0;0;0;0;0;1;13
21.03.2016;11;0;22;41;18;25;25;23;14;28;15;31;14;0;28;20;0;28;25;31;0;26;29;0;0;0;0;0;0;18
21.03.2016;12;1;22;47;27;22;28;25;16;24;23;37;19;2;39;26;0;44;35;35;0;30;28;0;0;0;0;0;0;24
21.03.2016;13;0;15;31;32;14;31;16;15;40;19;31;13;2;50;38;28;28;31;28;0;29;27;10;1;0;0;9;1;24
21.03.2016;14;0;12;18;33;19;32;17;13;42;22;21;12;4;55;42;24;28;31;18;0;28;33;23;0;1;1;11;2;21
21.03.2016;15;0;12;26;29;17;31;20;32;38;20;35;8;3;55;36;35;26;51;32;0;28;22;23;0;11;0;16;3;24
21.03.2016;16;0;18;29;29;13;22;15;27;42;24;35;9;1;53;41;31;24;40;24;0;49;30;10;0;4;0;14;1;34
21.03.2016;17;1;11;30;34;7;22;10;22;43;19;31;14;0;53;42;24;22;31;24;2;42;32;0;0;0;0;8;0;34
21.03.2016;18;0;7;27;28;10;17;10;23;41;27;29;12;2;43;39;20;30;24;25;37;29;24;0;1;0;0;0;2;35
21.03.2016;19;0;12;32;33;6;24;15;23;47;27;35;15;0;60;47;21;29;24;29;37;13;39;0;1;0;0;0;0;38
21.03.2016;20;0;4;18;49;10;22;23;11;43;20;36;13;0;35;48;22;30;25;30;49;23;26;0;0;0;0;0;2;52
21.03.2016;21;0;0;16;26;11;15;26;0;23;12;29;5;0;0;32;0;25;0;30;0;28;18;0;0;0;0;0;0;22
21.03.2016;22;0;0;10;32;10;12;17;0;13;10;15;2;0;0;31;0;19;0;14;0;36;13;0;0;0;0;0;0;30
21.03.2016;23;0;0;11;31;10;10;13;0;14;3;11;4;0;0;21;0;8;0;10;0;21;7;0;0;0;0;0;0;24
21.03.2016;24;0;0;5;12;10;8;9;0;7;1;3;4;0;0;16;0;10;0;6;0;10;13;0;0;0;0;0;0;12
22.03.2016;1;0;6;0;9;7;2;10;0;16;3;4;5;0;0;15;0;6;0;3;0;4;16;0;0;0;0;0;0;6
22.03.2016;2;0;10;0;11;15;4;16;0;17;0;4;6;0;0;18;0;13;0;10;0;7;14;0;0;0;0;0;0;6
22.03.2016;3;0;12;0;25;16;12;17;0;17;4;2;7;0;0;20;0;14;0;10;0;14;8;0;0;0;0;0;1;19
22.03.2016;4;0;19;6;37;18;14;19;0;34;9;9;13;2;3;38;1;14;1;14;4;26;17;0;1;0;0;6;0;28
22.03.2016;5;6;29;21;33;17;19;16;16;37;12;33;16;3;24;29;16;10;30;19;39;32;14;0;1;1;0;21;1;27
22.03.2016;6;16;21;5;28;10;33;14;15;38;30;37;14;1;38;32;25;30;36;25;34;27;11;0;1;0;0;13;3;21
22.03.2016;7;13;22;0;25;13;27;27;15;37;19;40;7;0;51;37;17;18;41;29;7;29;21;0;0;0;0;0;0;22
22.03.2016;8;20;33;0;23;12;23;26;11;39;24;35;7;2;49;34;17;22;38;34;0;33;31;0;1;0;0;0;0;23
22.03.2016;9;19;30;0;22;14;26;23;4;30;25;27;14;3;45;33;24;28;26;24;0;29;26;0;1;0;17;0;3;23
22.03.2016;10;25;24;0;19;22;27;21;14;35;16;26;20;4;48;38;20;17;27;20;0;24;36;0;0;0;23;0;1;21
22.03.2016;11;16;25;0;18;18;13;23;14;32;20;23;11;1;27;28;17;21;32;24;0;19;31;0;0;0;14;0;0;17
22.03.2016;12;24;30;0;20;15;17;19;15;29;15;28;18;0;34;20;22;18;31;25;0;27;19;0;1;0;9;0;0;20
22.03.2016;13;15;31;0;26;18;21;18;13;35;15;31;20;0;43;34;28;13;22;21;0;28;29;4;1;0;2;0;1;22
22.03.2016;14;14;39;0;31;19;19;10;20;31;22;22;13;1;41;34;17;16;23;15;0;29;24;23;0;0;0;0;2;23
22.03.2016;15;15;43;0;26;29;20;26;37;39;24;33;24;1;43;39;26;24;51;30;0;33;22;28;0;0;0;0;1;25
22.03.2016;16;24;50;0;36;21;22;24;31;40;28;38;18;1;53;38;25;26;35;31;0;50;24;15;0;0;0;0;0;38
22.03.2016;17;12;31;0;37;18;22;15;19;41;21;38;17;1;60;43;17;16;23;30;0;37;28;0;0;0;0;0;0;36
22.03.2016;18;12;27;0;32;17;11;8;19;54;22;27;13;0;35;48;14;19;23;18;31;27;30;0;1;0;0;0;2;36
22.03.2016;19;12;27;0;45;11;17;11;23;50;30;31;15;0;46;38;22;28;28;28;50;38;38;0;1;0;0;0;2;46
22.03.2016;20;0;24;0;45;13;19;24;7;47;17;29;9;0;38;35;21;18;27;22;55;34;28;0;0;0;0;0;1;49
22.03.2016;21;0;20;0;38;10;17;27;0;32;14;23;4;0;20;26;8;16;10;21;12;28;19;0;0;0;0;0;1;31
22.03.2016;22;0;14;0;35;8;12;16;0;17;11;17;5;0;0;17;0;10;0;25;0;37;12;0;0;0;0;0;0;33
